"method_id","method_name","source","source_line","plot_name","image_path","status","explanation","code","error"
"linear_regression","Linear Regression","Original Reference",147,"source_plot_001","images/original_001_source_plot_001.png","success","该图来自原始 linear_regression 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"independence_test","Independence Test","Original Reference",162,"source_plot_002","images/original_002_source_plot_002.png","success","该图来自原始 independence_test 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"correlation","Correlation","Original Reference",187,"chi_mosaic","images/original_003_chi_mosaic.png","success","颜色表示关系的方向和强度；格子或数字用于比较变量之间最强和最弱的联系。","ggcorrplot(cr, lab = TRUE, hc.order = TRUE)",""
"partial_correlation","Partial Correlation","Original Reference",213,"source_plot_004","images/original_004_source_plot_004.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","edge.color = ifelse(pcor_mat > 0, ""red"", ""blue""),",""
"partial_correlation","Partial Correlation","Original Reference",216,"source_plot_005","images/original_005_source_plot_005.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","library(ppcor)",""
"partial_correlation","Partial Correlation","Original Reference",217,"source_plot_006","images/original_006_source_plot_006.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","ppcor_test=ppcor::pcor(test1[-1,-1])",""
"partial_correlation","Partial Correlation","Original Reference",268,"pcor_ptest_image","images/original_007_pcor_ptest_image.png","success","该图来自原始 partial_correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","geom_node_text(aes(label = name), repel = TRUE) +",""
"correlation","Correlation","Original Reference",321,"pcor_vs_corr","images/original_008_pcor_vs_corr.png","success","该图来自原始 correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","tt=t.test(U1,mu=95) #p too high ,can not reject Ho:mean=95",""
"correlation","Correlation","Original Reference",340,"source_plot_009","images/original_009_source_plot_009.png","success","该图来自原始 correlation 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","y = ""Mean Prob"",",""
"correlation","Correlation","Original Reference",365,"source_plot_010","images/original_010_source_plot_010.png","success","形状展示不同组的分布；箱体、密度宽度或山脊高度用于比较中心、离散程度和尾部。","Violin=ggplot(UScrime, aes(x = factor(So), y = Prob)) +",""
"anova","ANOVA","Original Reference",380,"ttest_result","images/original_011_ttest_result.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","x <- as.data.table(readRDS(file=""WIDE_ALLX""))",""
"anova","ANOVA","Original Reference",386,"source_plot_012","images/original_012_source_plot_012.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","x[, .(date, `UNITED STATES US Employees on Nonfarm Payrolls Total MoM Net Change SA`)],",""
"anova","ANOVA","Original Reference",395,"Violin","images/original_013_Violin.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","by = ""date""",""
"anova","ANOVA","Original Reference",444,"p_10y","images/original_014_p_10y.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"anova","ANOVA","Original Reference",477,"p1","images/original_015_p1.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","y = ""NFP""",""
"anova","ANOVA","Original Reference",486,"p2","images/original_016_p2.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","breaks = quantile(NFP, probs = seq(0, 1, by = 0.25), na.rm = TRUE),",""
"anova","ANOVA","Original Reference",501,"p3","images/original_017_p3.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","merged_dt=na.locf(merged_dt) %>% na.omit()",""
"anova","ANOVA","Original Reference",543,"source_plot_018","images/original_018_source_plot_018.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","",""
"anova","ANOVA","Original Reference",551,"source_plot_019","images/original_019_source_plot_019.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","rel_min_height = 0.01, # 去掉尾巴的极小值",""
"anova","ANOVA","Original Reference",556,"change10y_NFP_cat_plot_violin","images/original_020_change10y_NFP_cat_plot_violin.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","x = ""Change in 10Y Yield"",",""
"anova","ANOVA","Original Reference",574,"change10y_NFP_cat_plot_ridge","images/original_021_change10y_NFP_cat_plot_ridge.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","# plot(afit2)",""
"anova","ANOVA","Original Reference",597,"tuk_plot","images/original_022_tuk_plot.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","geom_errorbar(aes(ymin = emmean - SE, ymax = emmean + SE), width = 0.2) +",""
"anova","ANOVA","Original Reference",611,"source_plot_023","images/original_023_source_plot_023.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","sapply(list(Risk_cat,NFP_cat,`10y`),FUN=class)",""
"anova","ANOVA","Original Reference",624,"NFP_RISK_Effect","images/original_024_NFP_RISK_Effect.png","success","该图来自原始 anova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","type = ""b"",",""
"ancova","ANCOVA","Original Reference",650,"NFP_RISK_CAT_Interact1","images/original_025_NFP_RISK_CAT_Interact1.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#each NFP_cat's variance on 10y remain same",""
"ancova","ANCOVA","Original Reference",662,"acova_as1","images/original_026_acova_as1.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#Assumption 5 — Normality of Residuals",""
"ancova","ANCOVA","Original Reference",669,"acova_as2","images/original_027_acova_as2.png","success","该图来自原始 ancova 分析段。阅读时结合坐标轴、颜色图例和对应检验结果。","#then do ancova,在控制 Risk 后，不同 NFP_cat 的 10y“调整后均值”是否仍然不同。",""
